CustId,ItemCode
762013259,12053
762013259,12068
762013259,12071
762013259,12072
762013259,12077
762013259,21028
762013259,22022
762013259,22023
762013259,22024
762013259,411009
762013259,41185
762013259,41186
762013259,41236
762013259,41347
762013259,41497
762013259,41511
762013259,41679
762013259,41844
762013259,41999
762013259,41999TLS001FRM
862013891,11003
862013891,11100
862013891,11104
862013891,12064
862013891,12216TLS002FRM
862013891,21040
862013891,21045
862013891,21057
862013891,22055
862013891,41003
862013891,41038
862013891,41046
862013891,41072
862013891,41080
862013891,41081
862013891,41291
862013891,41322
862013891,41828
862013891,41945
862013891,41945TLS001FRM
862013895,11046
862013895,11056
862013895,11182
862013895,21074
862013895,21075
862013895,21076
862013895,41030
862013895,41033
862013895,41045
862013895,41047
862013895,41048
862013895,41093
862013895,41105
862013895,411161
862013895,411231
862013895,411235
862013895,411269
862013895,411305
862013895,411305TLS001FRM
862013895,41133
862013895,411340
862013895,411345
862013895,411352
862013895,411411
862013895,41212
862013895,41242
862013895,41293
862013895,41304
862013895,41312
862013895,41313
862013895,41314
862013895,41315
862013895,41317
862013895,41445
862013895,41448
862013895,41463
862013895,41466
862013895,41495
862013895,41525
862013895,41578
862013895,41579
862013895,41605
862013895,41688
862013895,41898
862013895,41936
862013895,41937
862013895,41938
862013896,22010
862013896,41005
862013896,41036
862013896,41037
862013896,41038
862013896,41052
862013896,41063
862013896,41072
862013899,411410
862013899,41169
862013899,41572
862013903,11069
862013903,11149
862013903,11287
862013903,41030
862013903,41033
862013903,41045
862013903,41047
862013903,41048
862013903,41096
862013903,41105
862013903,411365
862013903,411366
862013903,411408
862013903,411418
862013903,41212
862013903,41293
862013903,41304
862013903,41312
862013903,41314
862013903,41315
862013903,41415
862013903,41448
862013903,41498
862013903,41499
862013903,41500
862013903,41579
862013903,41621
862013903,41673
862013903,41892
862013903,41898
862013904,41096
862013904,411354
862013904,41171
862013904,41397
862013904,41415
862013904,41560
862013904,41603
862013904,41626
862013904,41673
862013905,11222
862013905,41255
862013905,41277
862013905,41285
862013907,41181
862013908,41008
862013908,41019
862013908,41025
862013908,41027
862013909,41002
862013909,41032
862013909,411044
862013909,41181
862013909,41543
862013909,41545
862013909,41637
862013909,41983
862013909,41984
862013909,41985
862013910,41002
862013910,41032
862013910,411044
862013910,41181
862013910,41543
862013910,41545
862013910,41637
862013910,41771
862013910,41983
862013910,41984
862013910,41985
862013911,22010
862013911,41036
862013911,41037
862013911,41038
862013911,41052
862013911,41063
862013911,41072
862013914,41884
862013914,41885
862013914,41901
862013914,41902
862013914,41912
862013914,41913
862013915,11094
862013915,11121
862013915,11132
862013915,12058
862013915,12226
862013915,22025TLS001FRM
862013915,411100
862013915,411147
862013915,411148
862013915,411148TLS001FRM
862013915,411198
862013915,411198TLS001FRM
862013915,411336
862013915,41135
862013915,411359
862013915,41182
862013915,41240
862013915,41287
862013915,41632
862013915,41758
862013915,41768TLS001FRM
862013915,41883
862013915,41883TLS001FRM
862013915,41932
862013915,41933
862013915,41933TLS002FRM
862013915,45932
862013915,45933
862013916,411168
862013916,41123
862013916,41129
862013916,41239
862013918,11064
862013918,11114
862013918,11115
862013918,11213
862013918,11238
862013918,11238TLS001FRM
862013918,11249
862013918,11250
862013918,11257
862013918,11306AST001FRM
862013918,11306BP001FRM
862013918,11306CR001FRM
862013918,11306DIE001FRM
862013918,11306SETG001FRM
862013918,11306TP001FRM
862013918,12081
862013918,12089
862013918,12092
862013918,12092TLS001FRM
862013918,12143
862013918,12155
862013918,12155TLS001FRM
862013918,12156
862013918,12156TLS001FRM
862013918,12163
862013918,12163TLS001FRM
862013918,12184
862013918,12184TLS001DRL
862013918,12184TLS001FRM
